title,author,ISBN,rating,rating count,url
"Heartstopper, Volume Four",Alice Oseman, 9781444952797,4.68,47.6k,https://www.goodreads.com/book/show/51574372-heartstopper-volume-four
Our Violent Ends,Chloe Gong, 9781529344561,4.6,"7,469",https://www.goodreads.com/book/show/44084762-our-violent-ends
The Road Trip,Patrick Radden Keefe,NOT AVAILABLE,4.59,21.6k,https://www.goodreads.com/book/show/43868109-empire-of-pain
Go Tell the Bees That I Am Gone,Diana Gabaldon, 9781101885680,4.56,"7,822",https://www.goodreads.com/book/show/57700492-go-tell-the-bees-that-i-am-gone
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers, 9780062942937,4.55,"3,831",https://www.goodreads.com/book/show/51183428-the-love-songs-of-w-e-b-du-bois
Lore Olympus: Volume One,Rachel  Smythe,NOT AVAILABLE,4.55,12.5k,https://www.goodreads.com/book/show/57282218-lore-olympus
Project Hail Mary,Andy Weir, 9780593135204,4.53,159k,https://www.goodreads.com/book/show/54493401-project-hail-mary
The Man Who Died Twice,Richard Osman,NOT AVAILABLE,4.52,30.5k,https://www.goodreads.com/book/show/55457493-the-man-who-died-twice
"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry, 9781250223180,4.51,16.6k,https://www.goodreads.com/book/show/53238858-what-happened-to-you
The Wish,Nicholas Sparks, 9781538728628,4.5,20.1k,https://www.goodreads.com/book/show/56625098-the-wish
